"","FIPS","State","County","% Fair or Poor Health","Average Number of Physically Unhealthy Days","Average Number of Mentally Unhealthy Days","% Low Birthweight","% Smokers","% Adults with Obesity","Food Environment Index","% Physically Inactive","% With Access to Exercise Opportunities","% Excessive Drinking","Teen Birth Rate","Primary Care Physicians Ratio","Dentist Ratio","% Unemployed","Income Ratio","Social Association Rate","Violent Crime Rate","% Severe Housing Problems","% Drive Alone to Work","% Long Commute - Drives Alone","Life Expectancy","Age-Adjusted Death Rate","Child Mortality Rate","Infant Mortality Rate","% Food Insecure","% Limited Access to Healthy Foods","Drug Overdose Mortality Rate","% Insufficient Sleep","% Uninsured...136","Median Household Income","Suicide Rate (Age-Adjusted)","% Severe Housing Cost Burden","Population","Total area (square miles)","populationDensity","MentalHealthProviderRate"
"1","01000","Alabama",NA,22.028702851,4.9180517148,4.9397529418,10.254870596,20.927353108,35.5,5.8,29.8,61.112287373,13.903515291,30.894616445,"1543:1","2076:1",3.9335669106,5.2611357399,12.371924122,479.91918191,14.340702084,85.79474468,34.3,75.416194148,474.78234901,69.499675303,8.3655636026,16.3,7.9214249526,16.176762375,37.720954593,14.089709909,49881,15.638259688,12.653816743,4887871,NA,NA,101.214574898785
"2","01001","Alabama","Autauga",20.882987328,4.7438888672,4.6540313965,8.6195286195,18.08155718,33.3,7.2,34.7,69.130124059,15.026031257,25.284927164,"2220:1","3089:1",3.6290788612,5.2345972691,12.071202076,272.28222006,14.663461538,86.523661372,39.6,76.879477172,417.54755051,55.922156358,7.9401088929,13.2,11.991125,10.809447457,35.905406064,11.14898915,59338,18.145295478,13.403481168,55601,604.37,91.9982791998279,23.3808744447042
"3","01003","Alabama","Baldwin",17.50913436,4.2245192015,4.3040564688,8.3450031827,17.489032597,31,8,26.5,73.713548953,17.958310103,27.88069221,"1372:1","2019:1",3.6153821564,4.4177666786,10.205617322,203.66039629,13.566200931,84.282432728,41.7,78.450258368,353.34311052,47.381749857,5.5467006694,11.6,5.424426597,13.610486645,33.305868141,14.348524769,57588,19.377510546,11.725807954,218022,2027.27,107.544628983806,96.3391136801541
"4","01005","Alabama","Barbour",29.591801708,5.4302788594,5.1855944125,11.474558671,21.999984528,41.7,5.6,23.5,53.166769858,12.844015554,40.870815362,"3159:1","2765:1",5.1713842112,5.6814100186,7.5187969925,414.27786068,14.583333333,83.368470368,32.2,75.34193493,497.35006209,74.225273706,NA,22,10.739666573,NA,38.563167125,16.08583414,34382,12.836103622,14.059546314,24881,904.52,27.5074072436209,8.03793907242183
"5","01007","Alabama","Bibb",19.439724157,4.5914824378,4.5516988486,10.308710033,19.114199885,37.6,7.8,33.5,16.251363736,15.570042367,41.696794408,"2061:1","4480:1",3.9718277335,4.3685805106,8.3818598906,89.349125982,10.496453901,84.910646866,49.8,73.571820279,589.04111681,85.8000858,12.244897959,14.3,2.6016270077,28.060433312,38.1488654,13,46064,20.858766218,9.886874322,22400,626.17,35.7730328824441,22.3214285714286
"6","01009","Alabama","Blount",21.745292814,4.8608076303,4.8914546677,7.6045627376,19.20867197,33.8,8.4,30.3,15.634485887,14.230593827,33.5345953,"4463:1","5258:1",3.5111573222,4.4302623315,8.4463827073,482.69061089,10.548011639,86.17836202,59.4,74.145825897,515.61182276,83.798882682,6.8419927304,10.7,2.8801498232,24.199542513,35.945010419,17.082341882,50412,17.062627954,8.4622572942,57840,650.63,88.8984522693389,15.5593589544111
"7","01011","Alabama","Bullock",30.999101851,5.3591593432,4.8913510426,15.688487585,22.894664011,37.2,4.3,24.6,2.5013743815,12.094101229,47.916666667,"3436:1","5069:1",4.6901172529,7.4101959944,7.7602095257,311.0273327,18.143459916,79.060913706,46,73.530894789,562.24752995,149.61445506,NA,24.8,19.743350741,NA,45.020635869,15.240963855,29267,NA,18.501529052,10138,625.14,16.2171673545126,19.7277569540343
"8","01013","Alabama","Butler",27.910673184,5.4008061965,5.340750195,12.680288462,21.765334963,43.3,6.6,39.5,48.57974889,11.85740343,37.886100386,"3965:1","3280:1",4.7902176352,5.4235955818,9.079445145,581.58400519,13.159609121,83.833183164,32.3,72.918309203,609.16970743,98.19431564,NA,20.6,2.9261219306,NA,41.911083901,14.505765338,37365,9.2341684139,11.545956479,19680,777.88,25.2995320615005,50.8130081300813
"9","01015","Alabama","Calhoun",23.107733221,4.8803767403,4.8160722877,9.1613736678,20.612560375,38.5,6.9,31.7,47.721215801,13.842230147,33.534616991,"1572:1","1706:1",4.6528321587,5.0238964487,14.469004951,756.06654427,13.734191258,84.809213736,31.2,73.039108585,574.56384163,65.813090822,8.0260303688,15.7,9.178566583,18.334419817,41.314343982,15.388687124,45400,19.843747846,11.722432218,114277,612.27,186.644780897317,115.473441108545
"10","01017","Alabama","Chambers",23.995473603,4.9411783568,4.8735807661,12.213740458,19.392927053,40.1,6.4,30.1,61.864679234,12.745734617,45.441001192,"2408:1","5603:1",3.9080911233,4.7449321347,17.79728888,528.99973623,15.9566787,85.252848013,31.8,74.291076031,511.62651724,87.568741462,8.1061164333,17.9,10.328558281,9.8842553696,37.266574787,15.226316844,39917,20.818126034,12.381027919,33615,603.11,55.7361012087347,5.94954783436459
"11","01019","Alabama","Cherokee",20.698470599,4.7756141014,4.7112704225,8.2725060827,17.498673785,35,8.3,31.3,33.429527877,14.106562852,36.568760941,"2586:1","6508:1",3.5708139735,4.7084650307,8.5083343002,330.43879198,13,83.114465929,46.1,73.998833761,545.23369024,63.722366551,NA,12.5,0.2211124003,12.884273456,35.35507081,13.940332682,42132,23.823688351,9.945695897,26032,599.98,43.3881129370979,19.208605455244
"12","01021","Alabama","Chilton",21.185462911,4.7733822963,4.8532441372,8.6979166667,20.188979064,37.7,8.1,33.2,46.293792819,14.509374576,46.808510638,"4896:1","3396:1",3.6095707537,5.1076679484,15.204120998,507.81072095,13.29723225,83.564828268,50.3,74.926750554,519.63080554,59.180001894,6.8674062335,13.1,1.4605309614,12.106445926,35.174569262,17.504683975,47547,14.368798399,12.159502191,44153,700.79,63.0046090840337,52.0833333333333
"13","01023","Alabama","Choctaw",24.863531285,4.9332046304,4.9878824765,11.018711019,18.79324829,41.3,6.4,36.2,28.934266542,11.642290616,30.334728033,"2589:1","2140:1",5.5389859395,5.8600957203,19.312475859,128.41466262,11.061151079,82.146317829,44,74.053901547,536.1178615,NA,NA,19.5,7.2904190524,NA,38.291174279,14.113012768,39907,NA,9.3895761509,12841,920.86,13.9445735508112,0
"14","01025","Alabama","Clarke",25.23508481,5.127337236,5.0837367294,13.108038914,20.579655316,34.1,5.4,34.6,25.270003484,11.869010519,39.212469237,"1853:1","3417:1",7.473449587,8.4689826303,16.193995765,475.31243598,12.035583464,88.285296852,35,74.787459811,492.46124259,94.064528266,NA,22.9,11.154712303,NA,40.844779711,15.315508021,40741,9.9365712382,12.836438923,23920,1252.57,19.0967371085049,71.0732054015636
"15","01027","Alabama","Clay",23.795917414,4.9589695308,4.9829276834,9.3561368209,19.620354153,40.6,7.8,32.6,63.781223084,13.286503658,39.478322171,"2673:1","6638:1",3.9074291464,5.0792586055,10.473554275,309.06721281,11.18359739,89.902340151,37.3,75.237156152,530.99856311,NA,NA,14.5,2.3268798802,NA,38.540524868,17.218458392,39201,23.456306527,7.9752066116,13275,606,21.9059405940594,15.0647785477553
"16","01029","Alabama","Cleburne",19.284407812,4.546700394,4.8672154562,8.5209003215,18.374465772,37.3,8,31.3,41.48410366,14.462966516,38.831729174,"3725:1",NA,4.2486505311,4.7756800772,8.0536912752,103.33333333,12.93916024,81.363211951,55.5,74.766028857,537.92248086,72.785501128,NA,13.5,2.0717157696,NA,33.504784675,16.840135657,46495,13.586500829,10.040907401,14987,561.01,26.7143188178464,40.0320256204964
"17","01031","Alabama","Coffee",19.425826811,4.4201197865,4.5674364995,8.3085374228,17.444757594,34.2,7.5,30.8,53.723872828,15.183294249,26.04626523,"1853:1","2884:1",3.9486957775,4.658772634,14.650884836,276.20804419,12.103225806,86.598724971,26.8,76.710348557,429.80914405,36.806805169,6.0715088824,14.2,5.9812031395,7.7414859782,37.304731884,15.286789515,55122,14.880878115,9.4576684515,51909,680.49,76.28179694044,65.4878847413229
"18","01033","Alabama","Colbert",20.914454347,4.6086376267,4.5824058974,10.226746876,18.658821061,30.6,7.4,36.6,55.732343647,14.697592905,32.981766178,"1557:1","2190:1",4.61776593,4.7582009157,16.880733945,400.00735646,13.729925356,90.214732264,27.6,74.665950403,510.43682764,67.375192889,9.0952608904,14.7,6.5517045351,6.7287341416,36.95078304,12.121306087,49055,17.978347888,11.76300578,54762,623.52,87.8271747498075,34.6981263011797
"19","01035","Alabama","Conecuh",28.608747789,5.4337528108,5.3914879643,14.064115822,21.107512965,43,5.6,40.7,37.019957666,12.042707635,37.852452684,"2494:1","6139:1",5.2291944815,4.4522035786,7.217900393,387.40920097,13.359528487,89.447884417,33.5,75.25023311,528.82229203,NA,NA,20.9,13.229776262,NA,42.32037304,15.334374556,32613,NA,8.9436789944,12277,852.76,14.3967822130494,65.1465798045603
"20","01037","Alabama","Coosa",24.919103283,5.0890163223,5.1021191231,13.692307692,20.399965623,40.3,6.9,35.3,6.4217003207,12.670540333,39.755351682,NA,NA,4.1819012797,4.4343642229,10.228752092,254.8321954,14.625445898,83.979974969,40.6,73.819513253,500.54755522,136.63068725,NA,15.7,10.124807485,NA,36.809371971,15.532754538,42423,17.825599315,9.6423017107,10715,666.35,16.0801380655811,9.33271115258983
"21","01039","Alabama","Covington",22.668806251,4.6819404519,4.9065509126,10.345942451,19.249451541,31.7,7.6,35.5,50.234343969,13.500302181,46.866558617,"1952:1","2642:1",4.5783441122,4.9163307041,12.671195945,331.12142449,12.845849802,87.524644775,28.5,73.994503819,546.12854034,79.377194321,6.4370775668,14.6,4.3703267511,NA,35.912448843,15.291560344,40203,15.497341193,10.012140256,36986,1043.77,35.435009628558,64.8929266709929
"22","01041","Alabama","Crenshaw",22.146936238,4.7414560381,4.8952137157,10.087293889,18.646929565,38,6.2,33.5,22.35006472,14.617009895,37.586206897,"6936:1","6912:1",4.0806605272,5.4902610309,10.092999784,331.90736097,9.9539170507,81.729904693,41.4,74.659042119,535.43847355,NA,NA,15.8,17.03906038,NA,37.551861437,15.606361829,39057,NA,8.7624405019,13824,610.95,22.6270562239136,57.8703703703704
