GeoId,SumLev,AreaName,State,Stab,County,cnty,esriid,COUNTYCC,COUNTYNS,CBSA,CSA,Totpop,TotHUs,INTPTLAT,INTPTLON,LandSQMI,AreaSQMI,OccHUs,Vacant,White1,White2,Black1,Black2,Indian1,Indian2,Asian1,Asian2,HawnPI1,HawnPI2,Other1,Other2,Whitenh1,Whitenh2,HispPop,Over18,WhOvr181,WhOvr182,BlOvr181,BlOvr182,InOvr181,InOvr182,AsOvr181,AsOvr182,HaOvr181,HaOvr182,OtOvr181,OtOvr182,WNOvr181,WNOvr182,HisOvr18,MultRace,MROvr18,pctwhite1,pctblack1,pctindian1,pctasian1,pcthawnPI1,pctother1,pcthisppop,pctwhitenh1,pctmultrace,pctover18,Under18,pctUnder18,PopPSQMi,pctvacant
"Geo ID string" ,"Geographic Summary Level" ," " ," " ," " ,"County FIPS" ,"County code 3-digit" ," " ," " ," " ," " ," " ," " ," " ," " ," " ,"Land area (square miles)" ,"Total area (square miles)" ," " ," " ,"White alone" ,"White alone or in combination" ,"Black alone" ,"Black alone or in combination" ,"AIAN alone" ,"AIAN alone or in combination" ,"Asian alone" ,"Asian alone or in combination" ,"Hawaiian or PI alone" ,"Hawaiian or PI alone or in combination" ,"Some Other race alone" ,"Some other race alone or in combination" ,"White alone Non Hispanic" ,"White alone or in combination Non Hispanic" ,"Hispanic Population" ," " ,"White alone over 18" ,"White alone or in combination over 18" ,"Black alone over 18" ,"Black alone or in combination over 18" ,"AIAN alone over 18" ,"AIAN alone or in combination over 18" ,"Asian alone over 18" ,"Asian alone or in combination over 18" ,"Hawaiian or PI alone over 18" ,"Hawaiian or PI alone or in combination over 18" ,"Other race alone over 18" ,"Other race alone or in combination over 18" ,"White Non-hispanic alone over 18" ,"White Non-hispanic alone or in combination over 18" ,"Hispanic Pop Over 18" ,"Multi Racial" ,"Multi Racial Over 18" ,"% White alone" ,"% Black alone" ,"% American Indian alone" ,"% Asian alone" ,"% Hawn or PI alone" ,"% Other alone" ,"% Hispanic" ,"% White Alone Non Hispanic" ,"% Multi Racial" ,"% Over 18" ," " ,"% Children < 18" ,"Persons Per Sq Mile Land" ,"% Vacant"
05000US01001,050,Autauga County,01,al,01001,001,01001,H1,00161526,"Elmore County, AL",388,58805,24350,32.5322367,-86.6464395,594.46,604.37,22412,1938,42160,45084,11445,12266,217,1426,881,1360,35,115,910,1901,41582,43883,2117,44523,32773,34574,8363,8706,173,1054,638,868,30,89,594,1269,32408,33828,1339,3157,1952,71.7,19.5,0.4,1.5,0.1,1.5,3.6,70.7,5.4,75.7,14282,24.3,98.9,8.0
05000US01003,050,Baldwin County,01,al,01003,003,01003,H1,00161527,"Baldwin County, AL",380,231767,124148,30.6592183,-87.7460666,1589.84,2027.27,93116,31032,189399,203968,18217,20913,1582,6961,2067,3498,143,354,5335,11773,186495,196527,12686,182471,152668,162063,13593,14664,1242,5350,1584,2257,99,214,3578,7988,150877,157354,8197,15024,9707,81.7,7.9,0.7,0.9,0.1,2.3,5.5,80.5,6.5,78.7,49296,21.3,145.8,25.0
05000US01005,050,Barbour County,01,al,01005,005,01005,H1,00161528,"Eufaula, AL-GA",999,25223,11618,31.8702531,-85.4051035,885.01,904.52,9677,1941,11317,11939,11933,12261,116,362,117,152,1,13,1039,1246,11086,11578,1510,20134,9582,9978,9278,9456,81,250,91,117,0,7,649,808,9456,9763,934,700,453,44.9,47.3,0.5,0.5,0.0,4.1,6.0,44.0,2.8,79.8,5089,20.2,28.5,16.7
05000US01007,050,Bibb County,01,al,01007,007,01007,H1,00161529,"St. Clair County, AL",142,22293,9002,33.0158929,-87.1271475,622.47,626.17,7927,1075,16555,17275,4413,4643,60,430,32,56,9,18,465,699,16442,17018,740,17533,13120,13568,3564,3669,47,316,24,33,9,12,303,450,13055,13420,463,759,466,74.3,19.8,0.3,0.1,0.0,2.1,3.3,73.8,3.4,78.6,4760,21.4,35.8,11.9
05000US01009,050,Blount County,01,al,01009,009,01009,H1,00161530,"St. Clair County, AL",142,59134,24622,33.9773575,-86.56644,644.89,650.63,22367,2255,50663,54252,845,1250,337,1826,178,358,24,66,3431,5194,49764,52036,5771,45403,39758,42159,647,797,238,1364,125,221,24,52,2173,3348,39278,40855,3534,3656,2438,85.7,1.4,0.6,0.3,0.0,5.8,9.8,84.2,6.2,76.8,13731,23.2,91.7,9.2
05000US01011,050,Bullock County,01,al,01011,011,01011,H1,00161531,99999,999,10357,4516,32.1017589,-85.7172613,622.82,625.14,3928,588,2320,2526,7396,7492,72,138,9,28,10,18,302,434,2281,2388,503,8356,2083,2214,5892,5956,38,88,5,18,5,11,172,252,2075,2145,273,248,161,22.4,71.4,0.7,0.1,0.1,2.9,4.9,22.0,2.4,80.7,2001,19.3,16.6,13.0
05000US01013,050,Butler County,01,al,01013,013,01013,H1,00161532,99999,999,19051,9806,31.751667,-86.6819689,776.84,777.88,8170,1636,9752,10263,8430,8742,29,223,143,197,5,29,105,227,9679,10121,260,14903,7998,8317,6326,6498,29,177,115,141,5,17,59,142,7953,8218,178,587,371,51.2,44.2,0.2,0.8,0.0,0.6,1.4,50.8,3.1,78.2,4148,21.8,24.5,16.7
05000US01015,050,Calhoun County,01,al,01015,015,01015,H1,00161533,"Calhoun County, AL",999,116441,53052,33.7705162,-85.8279089,605.89,612.27,46437,6615,80586,86179,25559,27445,487,2783,1190,1753,119,233,2471,4410,79519,83789,5010,92289,65424,69016,19865,20663,391,2182,1001,1336,90,158,1627,2994,64795,67527,3229,6029,3891,69.2,22.0,0.4,1.0,0.1,2.1,4.3,68.3,5.2,79.3,24152,20.7,192.2,12.5
05000US01017,050,Chambers County,01,al,01017,017,01017,H1,00161534,"Troup County, GA",122,34772,16373,32.9155039,-85.3940321,596.56,603.11,14238,2135,18850,19955,13512,14009,106,518,401,483,13,39,680,1078,18616,19431,1237,27791,15603,16273,10540,10771,83,414,357,395,10,29,443,709,15456,15950,823,1210,755,54.2,38.9,0.3,1.2,0.0,2.0,3.6,53.5,3.5,79.9,6981,20.1,58.3,13.0
05000US01019,050,Cherokee County,01,al,01019,019,01019,H1,00161535,99999,999,24971,14513,34.0695153,-85.6542417,553.52,599.98,10411,4102,22707,23581,987,1219,109,604,56,98,1,25,191,403,22563,23336,400,20169,18475,19055,825,912,88,482,47,67,1,10,122,274,18400,18920,246,920,611,90.9,4.0,0.4,0.2,0.0,0.8,1.6,90.4,3.7,80.8,4802,19.2,45.1,28.3
05000US01021,050,Chilton County,01,al,01021,021,01021,H1,00161536,"St. Clair County, AL",142,45014,19438,32.8540514,-86.7266071,692.84,700.79,17302,2136,35527,37443,4067,4537,338,1041,181,262,6,25,2892,3791,34878,36099,4418,34385,27886,29058,3069,3227,238,786,134,175,6,15,1819,2408,27517,28264,2735,2003,1233,78.9,9.0,0.8,0.4,0.0,6.4,9.8,77.5,4.4,76.4,10629,23.6,65,11.0
05000US01023,050,Choctaw County,01,al,01023,023,01023,H1,00161537,99999,999,12665,7104,31.9909539,-88.2488894,913.48,920.86,5675,1429,7074,7288,5232,5358,30,139,22,45,0,6,47,107,7039,7238,113,10168,5710,5858,4211,4286,16,96,18,33,0,4,33,81,5690,5827,75,260,180,55.9,41.3,0.2,0.2,0.0,0.4,0.9,55.6,2.1,80.3,2497,19.7,13.9,20.1
05000US01025,050,Clarke County,01,al,01025,025,01025,H1,00161538,99999,999,23087,11655,31.6855211,-87.8186244,1238.42,1252.57,9662,1993,12029,12516,10255,10514,74,295,94,141,1,13,82,205,11970,12400,206,18249,9843,10135,7894,8024,53,222,69,96,1,5,51,135,9799,10064,124,552,338,52.1,44.4,0.3,0.4,0.0,0.4,0.9,51.8,2.4,79.0,4838,21.0,18.6,17.1
05000US01027,050,Clay County,01,al,01027,027,01027,H1,00161539,99999,999,14236,7035,33.2703999,-85.8635254,603.96,606.00,5926,1109,11375,11928,1963,2204,56,294,48,83,4,21,195,378,11261,11695,449,11299,9207,9533,1530,1612,46,224,33,53,1,15,130,259,9143,9386,287,595,352,79.9,13.8,0.4,0.3,0.0,1.4,3.2,79.1,4.2,79.4,2937,20.6,23.6,15.8
05000US01029,050,Cleburne County,01,al,01029,029,01029,H1,00161540,99999,999,15056,6801,33.6719637,-85.5161261,560.11,561.01,6054,747,13819,14372,466,556,53,416,21,53,2,17,129,252,13740,14226,284,11620,10736,11095,372,401,36,299,21,38,0,15,87,170,10689,11015,187,566,368,91.8,3.1,0.4,0.1,0.0,0.9,1.9,91.3,3.8,77.2,3436,22.8,26.9,11.0
05000US01031,050,Coffee County,01,al,01031,031,01031,H1,00161541,"Coffee County, AL",999,53465,24105,31.402258,-85.9896022,678.99,680.49,21263,2842,37080,40821,8760,9834,640,2045,909,1460,61,186,1908,3493,35759,38177,4887,40774,29225,31493,6644,7118,443,1436,733,1015,44,136,1192,2248,28431,29875,2996,4107,2493,69.4,16.4,1.2,1.7,0.1,3.6,9.1,66.9,7.7,76.3,12691,23.7,78.7,11.8
05000US01033,050,Colbert County,01,al,01033,033,01033,H1,00161542,"Lauderdale County, AL",999,57227,27666,34.703112,-87.8014569,592.95,623.52,24425,3241,43631,46163,9286,10135,270,1470,432,571,9,32,902,1638,43241,45367,1732,45078,35120,36681,7169,7481,230,1149,325,385,9,23,559,1072,34902,36215,1061,2697,1666,76.2,16.2,0.5,0.8,0.0,1.6,3.0,75.6,4.7,78.8,12149,21.2,96.5,11.7
05000US01035,050,Conecuh County,01,al,01035,035,01035,H1,00161543,99999,999,11597,6382,31.4309257,-86.9887221,850.28,852.76,5066,1316,5912,6224,5104,5236,72,245,40,72,1,20,99,213,5835,6075,256,9277,4922,5127,3961,4045,56,188,37,54,1,15,54,118,4872,5043,155,369,246,51.0,44.0,0.6,0.3,0.0,0.9,2.2,50.3,3.2,80.0,2320,20.0,13.6,20.6
05000US01037,050,Coosa County,01,al,01037,037,01037,H1,00161544,"Tallapoosa County, AL",388,10387,5999,32.9314453,-86.2434818,650.91,666.35,4451,1548,6824,7137,3008,3168,31,203,8,25,0,13,162,260,6807,7073,201,8603,5759,5968,2466,2559,26,157,8,16,0,7,103,167,5753,5937,112,354,241,65.7,29.0,0.3,0.1,0.0,1.6,1.9,65.5,3.4,82.8,1784,17.2,16,25.8
